GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TallerRecesoJuanLeal,com.example.TallerReceso.Model.recipeCreator,RecipeCreator,6,101,0,0,2,24,0,4,0,4
TallerRecesoJuanLeal,com.example.TallerReceso.Controller,IngredientController,0,13,0,0,0,3,0,2,0,2
TallerRecesoJuanLeal,com.example.TallerReceso.Controller,ChefController,0,28,0,0,0,6,0,4,0,4
TallerRecesoJuanLeal,com.example.TallerReceso.Controller,KitchenObserverController,0,28,0,0,0,6,0,4,0,4
TallerRecesoJuanLeal,com.example.TallerReceso.Controller,RecipeController,36,191,8,1,13,36,8,11,0,11
TallerRecesoJuanLeal,com.example.TallerReceso.Controller,ParticipantController,0,28,0,0,0,6,0,4,0,4
TallerRecesoJuanLeal,com.example.TallerReceso.util,KitchenRole,0,21,0,0,0,4,0,1,0,1
TallerRecesoJuanLeal,com.example.TallerReceso.util,RecipeMapper,29,0,0,0,8,0,2,0,2,0
TallerRecesoJuanLeal,com.example.TallerReceso,TallerRecesoApplication,8,0,0,0,3,0,2,0,2,0
TallerRecesoJuanLeal,com.example.TallerReceso.Service,ChefService,0,28,0,0,0,5,0,5,0,5
TallerRecesoJuanLeal,com.example.TallerReceso.Service,ParticipantService,0,28,0,0,0,5,0,5,0,5
TallerRecesoJuanLeal,com.example.TallerReceso.Service,KitcherObserverService,0,28,0,0,0,5,0,5,0,5
TallerRecesoJuanLeal,com.example.TallerReceso.Service,IngredientService,0,14,0,0,0,3,0,3,0,3
TallerRecesoJuanLeal,com.example.TallerReceso.Service,RecipeService,0,77,0,0,0,17,0,11,0,11
TallerRecesoJuanLeal,com.example.TallerReceso.Dto.recipeDTO,ResponseDTO,7,19,0,0,1,6,1,2,1,2
TallerRecesoJuanLeal,com.example.TallerReceso.config,SecurityConfig,54,0,0,0,9,0,4,0,4,0
